,xint,rate
400008.0,,
400009.0,-100554.59999997934,50.09999999998976
400010.0,31888.399999993213,-15.599999999996605
400011.0,9642.199999997945,-4.4999999999989555
400012.0,7582.600000000195,-3.600000000000101
400013.0,22863.999999989974,-11.099999999995006
400015.0,,
400017.0,24736.999999994674,-11.99999999999735
400018.0,104120.59999998189,-51.59999999999101
400019.0,-6577.400000000664,3.500000000000341
400020.0,,
400021.0,2736.7999999986787,-1.0999999999993122
400022.0,,
400023.0,4444.799999999115,-1.9999999999995453
400024.0,21847.799999997165,-10.499999999998572
400025.0,-4361.799999999406,2.499999999999716
400026.0,10852.599999997867,-5.0999999999989285
400027.0,-8935.799999998926,4.699999999999491
400028.0,-2212.1999999996624,1.2999999999998408
400029.0,847.0000000001164,-0.20000000000003837
400030.0,-506.3999999998341,0.49999999999994316
400031.0,-8941.999999999563,4.799999999999812
400032.0,51457.79999998817,-25.299999999994114
400033.0,87954.99999998888,-42.99999999999447
400034.0,-12224.199999999546,6.4999999999998295
400035.0,-6647.199999998687,3.599999999999362
400036.0,-49698.99999999048,24.999999999995296
400037.0,,
400038.0,35192.999999991924,-17.399999999995984
400039.0,-33827.39999999838,16.999999999999204
400040.0,1435.799999996234,-0.49999999999810285
400041.0,13034.799999995608,-6.299999999997816
400042.0,,
400043.0,,
400044.0,-42238.40000000625,21.300000000003138
400045.0,-52104.19999998784,25.999999999993985
400046.0,-11460.600000000239,6.000000000000142
400047.0,,
400048.0,-58817.79999998652,29.399999999993337
400049.0,15601.999999996784,-7.499999999998387
400050.0,-18054.199999997203,9.199999999998631
400051.0,-10264.19999999828,5.399999999999153
400052.0,-185181.3999999657,92.39999999998302
400053.0,-42071.79999999197,21.199999999996024
400054.0,-100245.79999998047,50.199999999990354
400055.0,-4615.600000002509,2.6000000000012733
400056.0,10277.39999998988,-4.799999999994952
400057.0,-54938.59999998522,27.69999999999272
400058.0,39704.999999992244,-19.49999999999615
400059.0,3435.3999999981606,-1.4999999999990834
400060.0,-18290.199999995093,9.299999999997603
400061.0,7694.799999962808,-3.4999999999814975
400062.0,54052.59999998554,-26.599999999992804
400064.0,-10494.599999996673,5.399999999998371
400066.0,12849.799999996205,-6.099999999998097
400067.0,,
400068.0,-36790.79999999601,18.49999999999805
400069.0,-48533.19999999468,24.29999999999739
400070.0,26801.599999992395,-13.199999999996216
400071.0,-46055.99999999371,23.0999999999969
400072.0,-5531.199999999008,2.899999999999519
400073.0,177866.99999996135,-88.19999999998082
400074.0,19015.39999999448,-9.299999999997254
400075.0,-51029.1999999902,25.599999999995152
400076.0,-11945.799999997049,6.099999999998545
400077.0,-57997.59999999526,29.099999999997685
400078.0,35206.799999991286,-17.29999999999567
400079.0,1645.1999999997934,-0.4999999999998721
400080.0,33.60000000052969,0.29999999999974847
400081.0,-317.60000000015134,0.30000000000008953
400082.0,-10310.199999999473,5.399999999999757
400083.0,14121.799999995405,-6.799999999997688
400084.0,86.79999999998108,0.10000000000002629
400085.0,-28363.799999997937,14.399999999999004
400086.0,20005.199999994467,-9.699999999997239
400087.0,-5099.200000000856,2.700000000000429
400089.0,2386.7999999994936,-0.8999999999997215
400091.0,,
400092.0,,
400093.0,,
400094.0,,
400095.0,,
400096.0,,
400097.0,,
400098.0,,
400101.0,,
400102.0,,
400104.0,,
400105.0,,
400106.0,,
400107.0,,
400108.0,,
400109.0,,
400111.0,,
400112.0,,
400113.0,,
400114.0,,
400115.0,,
400116.0,,
400117.0,,
400118.0,,
400119.0,,
400120.0,,
400121.0,,
400123.0,,
400124.0,,
400125.0,,
400126.0,,
400127.0,,
400128.0,,
400129.0,,
400130.0,,
400131.0,,
400133.0,,
400134.0,,
400135.0,,
400136.0,,
400137.0,,
400139.0,,
400141.0,,
400142.0,,
400143.0,,
400144.0,,
400145.0,,
400146.0,,
400147.0,,
400148.0,,
400149.0,,
400150.0,,
400151.0,,
400153.0,,
400156.0,,
400157.0,,
400159.0,,
400161.0,,
400162.0,,
400163.0,,
400164.0,,
400165.0,,
400167.0,,
400168.0,,
400169.0,,
400170.0,,
400171.0,,
400172.0,,
400173.0,,
400175.0,,
400176.0,,
400177.0,,
400178.0,,
609674.0,-57463.40000000011,29.000000000000114
609675.0,,
609676.0,342728.99999992317,-169.59999999996188
609678.0,-431209.79999989015,214.6999999999456
609679.0,-14443.400000004447,7.900000000002251
609680.0,-8394.199999993347,4.59999999999674
609682.0,104516.79999997372,-51.699999999986964
609683.0,,
609686.0,,
609691.0,-41172.99999999051,20.899999999995345
609692.0,95512.5999999764,-46.69999999998828
609693.0,,
609694.0,34167.39999999225,-16.499999999996135
609695.0,220827.59999995786,-108.99999999997905
609698.0,416283.39999992447,-206.09999999996245
609702.0,,
609704.0,275856.1999999503,-136.39999999997536
609705.0,203656.79999996687,-100.89999999998356
609706.0,,
609707.0,273537.5999999488,-135.5999999999746
609708.0,330913.39999992494,-163.59999999996273
609709.0,335400.99999994057,-166.19999999997054
609710.0,338085.1999999238,-167.39999999996218
609711.0,183114.59999996162,-90.69999999998093
609712.0,161010.79999996736,-79.79999999998381
609713.0,346504.1999999427,-171.49999999997158
609715.0,343099.1999999344,-169.09999999996737
609716.0,248274.1999999592,-122.79999999997978
609718.0,-27643.799999982526,14.499999999991331
609719.0,127097.39999996423,-62.399999999982214
609720.0,169525.79999997036,-82.09999999998519
609722.0,165976.59999996773,-82.199999999984
609723.0,156276.1999999641,-77.29999999998219
609724.0,60236.19999998121,-29.099999999990587
609725.0,60473.7999999976,-29.299999999998732
609726.0,-30429.999999988664,15.499999999994415
