SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400009.00,Globel Citizenship,247.00,24.00,15.00,0.00,1.00,203.00,3.00,0.00,0.00,1.00
400010.00,ACE Tech Chtr HS,500.00,24.00,322.00,0.00,7.00,134.00,11.00,0.00,0.00,2.00
400011.00,Locke A. Charter,588.00,2.00,575.00,0.00,1.00,7.00,2.00,0.00,0.00,1.00
400012.00,Amandla Elementay Chrtr,348.00,0.00,347.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
400013.00,ASPIRA Chrt - Early College,505.00,6.00,15.00,0.00,1.00,476.00,2.00,3.00,0.00,2.00
400015.00,ASPIRA Chrt - Ramirez,397.00,14.00,48.00,0.00,1.00,330.00,0.00,4.00,0.00,0.00
400017.00,ASPIRA Chrt - Haugan,592.00,16.00,34.00,0.00,3.00,514.00,5.00,19.00,0.00,1.00
400018.00,Austin Bus & Entrp HS,317.00,0.00,313.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
400019.00,Bronzeville LH Chrt,455.00,1.00,444.00,0.00,0.00,8.00,0.00,1.00,0.00,1.00
400020.00,Catalyst Chrt - Howland,507.00,0.00,498.00,0.00,0.00,3.00,0.00,0.00,0.00,6.00
400021.00,Catalyst Circle Rock,520.00,0.00,489.00,0.00,0.00,1.00,2.00,0.00,1.00,27.00
400022.00,Chicago Arts HS,437.00,59.00,231.00,2.00,1.00,112.00,24.00,6.00,0.00,2.00
400023.00,CICS - Avalon/So Shore,421.00,0.00,419.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
400024.00,CICS- Basil,730.00,1.00,669.00,0.00,0.00,50.00,1.00,2.00,1.00,6.00
400025.00,CICS - Bucktown,667.00,23.00,95.00,0.00,3.00,537.00,7.00,1.00,1.00,0.00
400026.00,CICS - Loomis,592.00,0.00,578.00,0.00,0.00,8.00,2.00,1.00,0.00,3.00
400027.00,CICS - Irving Park,517.00,67.00,52.00,0.00,0.00,339.00,15.00,23.00,0.00,21.00
400028.00,CICS- Prairie,403.00,0.00,226.00,0.00,0.00,176.00,1.00,0.00,0.00,0.00
400029.00,CICS- Washington,446.00,0.00,444.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400030.00,CICS - W. Belden,500.00,4.00,32.00,0.00,0.00,444.00,0.00,2.00,0.00,18.00
400031.00,CICS- Wrightwood,709.00,2.00,650.00,0.00,0.00,15.00,40.00,1.00,0.00,1.00
400032.00,CICS - Ellison,548.00,0.00,536.00,0.00,0.00,4.00,8.00,0.00,0.00,0.00
400033.00,CICS - Longwood,1473.00,0.00,1460.00,0.00,1.00,10.00,2.00,0.00,0.00,0.00
400034.00,CICS - Northtown,844.00,189.00,66.00,1.00,4.00,455.00,12.00,114.00,3.00,0.00
400035.00,Chgo Math/Sci Chtr,596.00,20.00,154.00,1.00,4.00,352.00,16.00,47.00,1.00,1.00
400036.00,Chicago Virtual Chtr,598.00,97.00,303.00,28.00,1.00,91.00,24.00,42.00,5.00,7.00
400038.00,Community Service West HS,180.00,1.00,176.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00
400039.00,Erie Charter,351.00,10.00,69.00,0.00,0.00,266.00,5.00,1.00,0.00,0.00
400040.00,Frazier Prep Acad,413.00,1.00,379.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00
400041.00,Galapagos Charter,351.00,0.00,342.00,0.00,0.00,6.00,0.00,0.00,0.00,3.00
400042.00,Ford Power House Chrt HS,453.00,0.00,445.00,0.00,0.00,4.00,1.00,0.00,0.00,3.00
400043.00,Hope Inst Learning Acad,410.00,15.00,337.00,0.00,2.00,41.00,5.00,4.00,0.00,6.00
400044.00,KIPP Ascend Charter,545.00,1.00,500.00,0.00,2.00,32.00,3.00,0.00,0.00,7.00
400045.00,Nkrumah Academy,215.00,0.00,213.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
400046.00,LEARN Chrt -  Butler,599.00,0.00,550.00,0.00,0.00,8.00,2.00,0.00,0.00,39.00
400047.00,LEARN Chrt - North Lawndale,447.00,0.00,434.00,0.00,0.00,10.00,0.00,0.00,0.00,3.00
400048.00,LEARN Chrt - EXCEL,342.00,0.00,333.00,0.00,1.00,7.00,0.00,0.00,0.00,1.00
400049.00,Legacy Charter,512.00,3.00,492.00,0.00,2.00,10.00,2.00,0.00,0.00,3.00
400050.00,Namaste Charter,452.00,42.00,24.00,0.00,1.00,363.00,3.00,7.00,0.00,12.00
400051.00,Noble St Chrt Hs -College Prep,599.00,13.00,72.00,0.00,4.00,502.00,4.00,4.00,0.00,0.00
400052.00,Nobel St Chrt HS - Comer,710.00,0.00,639.00,0.00,1.00,37.00,17.00,0.00,0.00,16.00
400053.00,Noble St Chrt HS - Golder,580.00,21.00,61.00,0.00,2.00,486.00,5.00,4.00,1.00,0.00
400054.00,Noble St Chrt HS - Prtizker,752.00,5.00,17.00,0.00,3.00,721.00,2.00,4.00,0.00,0.00
400055.00,Noble St Chrt HS - Rauner,599.00,12.00,54.00,0.00,4.00,517.00,6.00,5.00,0.00,1.00
400056.00,Noble St Chrt HS - Clark,581.00,3.00,387.00,0.00,1.00,171.00,18.00,1.00,0.00,0.00
400057.00,Nobel St ChrtHS - UIC College Prep,811.00,25.00,191.00,0.00,3.00,546.00,17.00,28.00,0.00,1.00
400058.00,North Lawndale Chrt -Christiana,473.00,0.00,463.00,0.00,0.00,8.00,0.00,0.00,1.00,1.00
400059.00,North Lawndale Chrt - Collins,412.00,0.00,407.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
400060.00,Passages Chrt,427.00,25.00,231.00,4.00,2.00,75.00,27.00,61.00,0.00,2.00
400061.00,Perspectives Chrt - Calumet HS,480.00,0.00,474.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00
