SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400008.00,ACT Chtr HS,324.00,1.00,321.00,0.00,0.00,2.00,Nan,Nan,Nan,Nan
400009.00,Globel Citizenship,150.00,17.00,11.00,1.00,0.00,121.00,Nan,Nan,Nan,Nan
400010.00,ACE Tech Chtr HS,507.00,30.00,333.00,2.00,1.00,141.00,Nan,Nan,Nan,Nan
400011.00,"Locke, A. Charter",511.00,0.00,507.00,0.00,0.00,4.00,Nan,Nan,Nan,Nan
400012.00,Amandla Elementay Chrtr,216.00,0.00,213.00,0.00,0.00,3.00,Nan,Nan,Nan,Nan
400013.00,ASPIRA Chrt - Early College,414.00,10.00,32.00,5.00,0.00,367.00,Nan,Nan,Nan,Nan
400015.00,ASPIRA Chrt - Ramirez,436.00,13.00,29.00,5.00,0.00,389.00,Nan,Nan,Nan,Nan
400017.00,ASPIRA Chrt - Haugan,483.00,37.00,35.00,15.00,0.00,396.00,Nan,Nan,Nan,Nan
400018.00,Austin Bus & Entrp HS,486.00,3.00,482.00,0.00,0.00,1.00,Nan,Nan,Nan,Nan
400019.00,Bronzeville LH Chrt,457.00,1.00,449.00,1.00,1.00,5.00,Nan,Nan,Nan,Nan
400020.00,Catalyst Chrt - Howland,389.00,1.00,387.00,0.00,0.00,1.00,Nan,Nan,Nan,Nan
400021.00,Catalyst Circle Rock,336.00,0.00,334.00,0.00,0.00,2.00,Nan,Nan,Nan,Nan
400022.00,Chicago Arts HS,146.00,32.00,70.00,4.00,0.00,40.00,Nan,Nan,Nan,Nan
400023.00,CICS - Avalon/So Shore,420.00,0.00,420.00,0.00,0.00,0.00,Nan,Nan,Nan,Nan
400024.00,CICS- Basil,730.00,0.00,688.00,1.00,0.00,41.00,Nan,Nan,Nan,Nan
400025.00,CICS - Bucktown,628.00,39.00,136.00,7.00,0.00,446.00,Nan,Nan,Nan,Nan
400026.00,CICS - Loomis,585.00,2.00,577.00,2.00,0.00,4.00,Nan,Nan,Nan,Nan
400027.00,CICS - Irving Park,408.00,51.00,83.00,15.00,1.00,258.00,Nan,Nan,Nan,Nan
400028.00,CICS- Prairie,425.00,1.00,254.00,0.00,0.00,170.00,Nan,Nan,Nan,Nan
400029.00,CICS- Washington,427.00,0.00,426.00,0.00,0.00,1.00,Nan,Nan,Nan,Nan
400030.00,CICS - W. Belden,501.00,6.00,44.00,0.00,0.00,451.00,Nan,Nan,Nan,Nan
400031.00,CICS- Wrightwood,722.00,4.00,712.00,0.00,1.00,5.00,Nan,Nan,Nan,Nan
400032.00,CICS - Ellison,576.00,3.00,565.00,2.00,0.00,6.00,Nan,Nan,Nan,Nan
400033.00,CICS - Longwood,1473.00,1.00,1460.00,0.00,0.00,12.00,Nan,Nan,Nan,Nan
400034.00,CICS - Northtown,836.00,225.00,87.00,103.00,5.00,416.00,Nan,Nan,Nan,Nan
400035.00,Chgo Math/Sci Chtr,599.00,46.00,157.00,45.00,0.00,351.00,Nan,Nan,Nan,Nan
400036.00,Chicago Virtual Chtr,553.00,99.00,363.00,38.00,1.00,52.00,Nan,Nan,Nan,Nan
400038.00,Community Service West HS,151.00,0.00,146.00,0.00,0.00,5.00,Nan,Nan,Nan,Nan
400039.00,Erie Charter,247.00,7.00,39.00,1.00,0.00,200.00,Nan,Nan,Nan,Nan
400040.00,Frazier Prep Acad,486.00,0.00,481.00,0.00,0.00,5.00,Nan,Nan,Nan,Nan
400041.00,Galapagos Charter,316.00,0.00,313.00,0.00,0.00,3.00,Nan,Nan,Nan,Nan
400042.00,Ford Power House Chrt HS,260.00,0.00,258.00,0.00,0.00,2.00,Nan,Nan,Nan,Nan
400043.00,Hope Inst Learning Acad,210.00,15.00,140.00,1.00,2.00,52.00,Nan,Nan,Nan,Nan
400044.00,KIPP Ascend Charter,320.00,1.00,314.00,0.00,0.00,5.00,Nan,Nan,Nan,Nan
400045.00,Nkrumah Academy,109.00,0.00,109.00,0.00,0.00,0.00,Nan,Nan,Nan,Nan
400046.00,LEARN Chrt -  Butler,491.00,3.00,484.00,0.00,0.00,4.00,Nan,Nan,Nan,Nan
400047.00,LEARN Chrt - North Lawndale,222.00,0.00,220.00,0.00,0.00,2.00,Nan,Nan,Nan,Nan
400048.00,LEARN Chrt - EXCEL,244.00,0.00,241.00,1.00,0.00,2.00,Nan,Nan,Nan,Nan
400049.00,Legacy Charter,368.00,0.00,364.00,0.00,0.00,4.00,Nan,Nan,Nan,Nan
400050.00,Namaste Charter,370.00,37.00,29.00,10.00,4.00,290.00,Nan,Nan,Nan,Nan
400051.00,Noble St Chrt Hs -College Prep,550.00,17.00,80.00,3.00,1.00,449.00,Nan,Nan,Nan,Nan
400052.00,Nobel St Chrt HS - Comer,294.00,1.00,279.00,0.00,0.00,14.00,Nan,Nan,Nan,Nan
