SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
610501.00,Austin Poly Tech HS,196,1,190,0,1,4,0,0,0,0
610502.00,Marine Math & Sci Mil HS,401,5,135,0,2,253,2,4,0,0
610503.00,Frazier International,265,1,260,0,0,2,0,0,0,2
610504.00,Thomas,176,10,5,0,1,150,2,5,0,3
610506.00,TEAM HS,407,0,398,0,1,8,0,0,0,0
610513.00,Air Force Acad HS,369,36,152,0,0,164,4,12,1,0
610515.00,Disney II Magnet,414,185,34,1,4,149,12,23,1,5
610518.00,VOISE HS,341,0,314,0,1,24,2,0,0,0
610520.00,LaSalle II Magnet,623,170,131,0,2,279,21,18,2,0
610521.00,Davis M. Magnet,336,0,329,0,0,4,1,1,0,1
610523.00,Edison Park,470,338,3,1,1,97,0,20,2,8
610524.00,Alcott HS,281,34,84,0,5,150,3,3,2,0
610529.00,Ogden HS,784,211,256,3,5,222,27,47,2,11
610530.00,South Shore,503,0,487,0,0,6,6,1,0,3
610532.00,Hernandez,916,7,21,0,4,879,2,0,0,3
610533.00,Prieto,"1,051",18,36,0,1,994,1,1,0,0
610534.00,Skinner North,368,152,55,0,1,42,25,91,2,0
610539.00,Camras,"1,001",56,9,0,9,906,6,15,0,0
610541.00,Lorca,905,33,12,0,5,808,4,8,0,35
610542.00,Wst Ridge,753,225,55,0,4,185,11,266,7,0
610543.00,Solorio HS,"1,068",17,41,0,6,"1,002",1,1,0,0
610544.00,Azuela,944,28,8,0,6,884,1,3,0,14
610547.00,South Shore Intl HS,572,1,550,0,0,16,3,1,1,0
610548.00,STEM Elementary,334,60,109,0,0,90,9,63,3,0
610555.00,Banner West HS,296,0,283,0,0,7,5,0,0,1
610557.00,Pathways to Education HS,310,6,101,0,2,199,0,0,0,2
610558.00,Goode STEM Acad,462,5,276,0,3,168,7,1,0,2
610559.00,Shields Middle,717,6,5,0,6,698,0,1,1,0
610561.00,Crane Med Prep HS,149,0,114,0,0,32,1,2,0,0
610563.00,Back of the Yards IB HS,281,6,9,0,1,248,0,17,0,0
610564.00,Disney II Magnet HS,247,54,50,2,3,127,2,6,2,1
610565.00,EXCEL Acad Englewood Hs,259,0,254,0,0,3,2,0,0,0
610566.00,MJ Bridgescape - Nth Lawndale HS,138,0,121,0,0,16,0,0,0,1
610568.00,Pathways to Ed - Avondale HS,161,8,39,0,0,109,3,0,1,1
610569.00,Ombudsman No.1 HS,70,23,19,0,1,24,2,0,0,1
610572.00,Camelot Academy ES,21,0,20,0,0,1,0,0,0,0
