SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400009.00,Globel Citizenship,296.00,31.00,19.00,0.00,1.00,239.00,3.00,0.00,0.00,3.00
400010.00,ACE Tech Chtr HS,482.00,12.00,334.00,0.00,11.00,114.00,10.00,0.00,0.00,1.00
400011.00,Locke A. Charter,588.00,3.00,576.00,0.00,0.00,6.00,3.00,0.00,0.00,0.00
400012.00,Amandla Elementay Chrtr,311.00,1.00,304.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00
400013.00,ASPIRA Chrt - Early College,511.00,6.00,13.00,0.00,3.00,483.00,1.00,2.00,0.00,3.00
400015.00,ASPIRA Chrt - Ramirez,373.00,10.00,35.00,0.00,2.00,322.00,0.00,3.00,0.00,1.00
400017.00,ASPIRA Chrt - Haugan,578.00,9.00,24.00,1.00,4.00,518.00,7.00,14.00,0.00,1.00
400018.00,Austin Bus & Entrp HS,236.00,0.00,234.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400019.00,Bronzeville LH Chrt,471.00,1.00,457.00,0.00,0.00,2.00,0.00,1.00,0.00,10.00
400020.00,Catalyst Chrt - Howland,498.00,0.00,495.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
400021.00,Catalyst Chtr -Circle Rock,529.00,0.00,470.00,0.00,1.00,2.00,2.00,0.00,1.00,53.00
400022.00,Chicago Arts HS,583.00,70.00,310.00,2.00,1.00,145.00,23.00,6.00,0.00,26.00
400023.00,CICS - Avalon/So Shore,422.00,2.00,418.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400024.00,CICS- Basil,717.00,1.00,646.00,0.00,0.00,59.00,0.00,2.00,1.00,8.00
400025.00,CICS - Bucktown,672.00,19.00,96.00,0.00,4.00,545.00,6.00,1.00,0.00,1.00
400026.00,CICS - Loomis,587.00,0.00,533.00,0.00,0.00,9.00,1.00,1.00,0.00,43.00
400027.00,CICS - Irving Park,527.00,67.00,43.00,0.00,1.00,343.00,15.00,23.00,0.00,35.00
400028.00,CICS- Prairie,406.00,1.00,223.00,0.00,0.00,181.00,1.00,0.00,0.00,0.00
400029.00,CICS- Washington,448.00,0.00,435.00,0.00,0.00,4.00,0.00,0.00,0.00,9.00
400030.00,CICS - W. Belden,500.00,6.00,38.00,0.00,0.00,456.00,0.00,0.00,0.00,0.00
400031.00,CICS- Wrightwood,725.00,5.00,677.00,0.00,1.00,15.00,25.00,1.00,0.00,1.00
400032.00,CICS - Ellison,552.00,0.00,536.00,0.00,0.00,5.00,7.00,0.00,0.00,4.00
400033.00,CICS - Longwood,1412.00,1.00,1396.00,0.00,0.00,13.00,2.00,0.00,0.00,0.00
400034.00,CICS - Northtown,865.00,172.00,60.00,1.00,3.00,488.00,14.00,122.00,4.00,1.00
400035.00,Chgo Math/Sci Chtr,598.00,22.00,166.00,0.00,4.00,339.00,12.00,54.00,1.00,0.00
400036.00,Chicago Virtual Chtr,602.00,106.00,303.00,19.00,2.00,88.00,32.00,40.00,1.00,11.00
400038.00,Community Service West HS,160.00,0.00,153.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00
400039.00,Erie Charter,414.00,8.00,80.00,0.00,0.00,315.00,8.00,3.00,0.00,0.00
400040.00,Frazier Prep Acad,441.00,1.00,403.00,0.00,0.00,5.00,0.00,0.00,0.00,32.00
400041.00,Galapagos Charter,365.00,1.00,346.00,0.00,0.00,12.00,0.00,0.00,0.00,6.00
400042.00,Ford Power House Chrt HS,360.00,1.00,342.00,0.00,0.00,12.00,0.00,0.00,0.00,5.00
400043.00,Hope Inst Learning Acad,379.00,13.00,308.00,0.00,2.00,29.00,4.00,4.00,0.00,19.00
400044.00,KIPP Ascend Charter,665.00,1.00,619.00,0.00,2.00,33.00,2.00,0.00,0.00,8.00
400045.00,Nkrumah Academy,244.00,0.00,240.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00
400046.00,LEARN Chrt -  Butler,624.00,1.00,597.00,0.00,0.00,5.00,1.00,0.00,0.00,20.00
400047.00,LEARN Chrt - North Lawndale,441.00,0.00,431.00,0.00,0.00,8.00,0.00,0.00,0.00,2.00
400048.00,LEARN Chrt - EXCEL,342.00,0.00,329.00,0.00,1.00,8.00,0.00,0.00,0.00,4.00
400049.00,Legacy Charter,503.00,3.00,488.00,0.00,2.00,8.00,1.00,0.00,0.00,1.00
400050.00,Namaste Charter,465.00,42.00,21.00,0.00,1.00,382.00,2.00,6.00,1.00,10.00
400051.00,Noble St Chrt Hs -College Prep,615.00,17.00,76.00,0.00,4.00,511.00,2.00,5.00,0.00,0.00
400052.00,Nobel St Chrt HS - Comer,812.00,0.00,763.00,0.00,1.00,32.00,15.00,0.00,0.00,1.00
400053.00,Noble St Chrt HS - Golder,601.00,21.00,66.00,0.00,3.00,509.00,0.00,1.00,1.00,0.00
400054.00,Noble St Chrt HS - Prtizker,805.00,6.00,17.00,0.00,4.00,772.00,3.00,3.00,0.00,0.00
400055.00,Noble St Chrt HS - Rauner,629.00,8.00,57.00,0.00,6.00,546.00,8.00,4.00,0.00,0.00
400056.00,Noble St Chrt HS - Clark,626.00,7.00,414.00,0.00,2.00,188.00,12.00,3.00,0.00,0.00
400057.00,Nobel St ChrtHS - UIC College Prep,794.00,17.00,192.00,0.00,6.00,527.00,11.00,35.00,0.00,6.00
400058.00,North Lawndale Chrt -Christiana,454.00,0.00,443.00,0.00,0.00,7.00,1.00,0.00,1.00,2.00
400059.00,North Lawndale Chrt - Collins,419.00,0.00,412.00,0.00,0.00,5.00,0.00,0.00,0.00,2.00
400060.00,Passages Chrt,421.00,23.00,213.00,2.00,4.00,75.00,24.00,73.00,3.00,4.00
400061.00,Perspectives Chrt - Calumet HS,808.00,0.00,793.00,0.00,0.00,8.00,5.00,0.00,0.00,2.00
400062.00,Perspectives Chrt - Cal Tech HS,521.00,1.00,515.00,0.00,0.00,2.00,2.00,0.00,0.00,1.00
400064.00,Perspectives Chrt  - Joslin,366.00,10.00,243.00,0.00,0.00,100.00,4.00,5.00,1.00,3.00
400066.00,Perspectives Chrt - ITT Math/Science,559.00,6.00,522.00,1.00,0.00,14.00,10.00,1.00,0.00,5.00
400068.00,Plato Learning Acad,468.00,0.00,467.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
400069.00,Polaris Charter Acad,391.00,0.00,354.00,0.00,0.00,34.00,0.00,0.00,0.00,3.00
400070.00,Prologue Early College HS,228.00,5.00,191.00,0.00,0.00,28.00,2.00,0.00,0.00,2.00
400071.00,Providence-Englewood Chrt,455.00,0.00,411.00,0.00,0.00,9.00,2.00,0.00,0.00,33.00
400072.00,Shabazz Charter,300.00,0.00,264.00,0.00,0.00,2.00,2.00,0.00,0.00,32.00
400073.00,Shabazz Chrt - DuSable,333.00,1.00,325.00,0.00,0.00,4.00,0.00,0.00,0.00,3.00
400074.00,Shabazz Chrt - Sizmore,307.00,0.00,285.00,0.00,0.00,1.00,1.00,0.00,0.00,20.00
400075.00,U Of C Chrt - Donoghue,490.00,2.00,471.00,0.00,0.00,2.00,0.00,0.00,0.00,15.00
400076.00,U Of C Chrt - North Kenwood,331.00,5.00,316.00,0.00,0.00,3.00,2.00,0.00,0.00,5.00
400077.00,U Of C Chrt - Woodlawn,607.00,2.00,594.00,0.00,0.00,4.00,2.00,0.00,1.00,4.00
400078.00,U of C Chrt - Woodson,385.00,0.00,372.00,0.00,0.00,3.00,4.00,0.00,0.00,6.00
400079.00,UNO Chrt - SPC Zizumbo,638.00,8.00,1.00,0.00,3.00,577.00,0.00,2.00,0.00,47.00
400080.00,UNO Chrt - PFC Torres,635.00,4.00,7.00,0.00,1.00,607.00,1.00,0.00,0.00,15.00
400081.00,UNO Chrt - Las Casas,288.00,0.00,1.00,0.00,0.00,284.00,1.00,0.00,0.00,2.00
400082.00,UNO Chrt - Fuentes,562.00,3.00,1.00,0.00,1.00,540.00,3.00,4.00,0.00,10.00
400083.00,UNO Chrt - Paz Interm,445.00,2.00,46.00,0.00,1.00,384.00,0.00,0.00,0.00,12.00
400084.00,UNO Chrt - Tamayo,288.00,3.00,0.00,0.00,0.00,285.00,0.00,0.00,0.00,0.00
400085.00,UNO Charter - Major Garcia,636.00,6.00,2.00,0.00,4.00,618.00,0.00,2.00,1.00,3.00
400086.00,Urban Prep Chtr HS,496.00,0.00,424.00,0.00,0.00,2.00,4.00,0.00,0.00,66.00
400087.00,Yng Women Ldrshp Chrt,355.00,18.00,278.00,0.00,2.00,31.00,6.00,0.00,0.00,20.00
400089.00,UNO Charter - Marquez,576.00,0.00,5.00,0.00,1.00,544.00,0.00,0.00,0.00,26.00
400091.00,Chicago Adv Tech Acad HS,381.00,11.00,259.00,0.00,0.00,103.00,1.00,7.00,0.00,0.00
400092.00,CICS - Lloyd Bond,354.00,0.00,344.00,0.00,0.00,8.00,0.00,0.00,0.00,2.00
400093.00,Chicago Talent Dev HS,286.00,0.00,280.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00
400094.00,EPIC Acad HS,487.00,3.00,295.00,0.00,2.00,177.00,7.00,0.00,0.00,3.00
400095.00,Garfield Park Prep Acad,154.00,0.00,150.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00
400096.00,Rowe,484.00,14.00,74.00,0.00,2.00,382.00,6.00,2.00,0.00,4.00
400097.00,Noble St Chrt HS - Chgo Bulls College,1029.00,8.00,314.00,0.00,4.00,680.00,12.00,6.00,1.00,4.00
400098.00,Noble St Chrt HS- Muchin,862.00,24.00,271.00,1.00,4.00,485.00,3.00,48.00,0.00,26.00
400101.00,UNO Charter - Gage Park,574.00,1.00,2.00,0.00,1.00,566.00,0.00,0.00,0.00,4.00
400102.00,Urban Prep Acad - E Garfield HS,430.00,0.00,403.00,0.00,0.00,7.00,3.00,0.00,0.00,17.00
400104.00,Instituto Health Acad HS,532.00,14.00,23.00,0.00,1.00,489.00,0.00,1.00,0.00,4.00
400105.00,Urban Prep Acad - So Shore HS,405.00,0.00,392.00,0.00,0.00,7.00,2.00,0.00,0.00,4.00
400106.00,Noble St Chrt - Englewood HS,609.00,0.00,588.00,0.00,0.00,17.00,4.00,0.00,0.00,0.00
400107.00,LEARN Chrt - South Shore,344.00,1.00,283.00,0.00,1.00,31.00,2.00,0.00,0.00,26.00
400108.00,CICS - Hawkins,371.00,0.00,363.00,0.00,0.00,2.00,2.00,0.00,0.00,4.00
400109.00,Prologue Chrt - Johnston HS,251.00,0.00,246.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00
400111.00,LEARN Chrt - Hunter Perkins,315.00,0.00,230.00,0.00,0.00,0.00,1.00,0.00,0.00,84.00
400112.00,UNO Charter - 51st Homan,574.00,4.00,1.00,0.00,4.00,557.00,0.00,0.00,0.00,8.00
400113.00,CICS - Chgo Quest North,298.00,18.00,192.00,0.00,0.00,74.00,5.00,5.00,0.00,4.00
400114.00,UNO Charter - St Marks,270.00,2.00,18.00,0.00,1.00,248.00,0.00,0.00,0.00,1.00
400115.00,Catalyst Chrt - Maria,557.00,5.00,252.00,0.00,4.00,255.00,1.00,0.00,0.00,40.00
400116.00,Montessori Englewood Chtr,92.00,0.00,85.00,0.00,0.00,4.00,2.00,0.00,0.00,1.00
400117.00,Noble St - Auburn-Grensham,257.00,0.00,247.00,0.00,0.00,8.00,1.00,1.00,0.00,0.00
400118.00,Noble St - Homan Square,228.00,3.00,192.00,0.00,0.00,28.00,2.00,0.00,0.00,3.00
400119.00,Legal Prep Acad Chtr,196.00,0.00,192.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
400120.00,UNO Chtr - Near West,555.00,8.00,30.00,0.00,0.00,509.00,2.00,0.00,0.00,6.00
400121.00,UNO Chtr - Northside,486.00,4.00,36.00,0.00,3.00,433.00,1.00,8.00,0.00,1.00
400146.00,ACT Charter,81.00,0.00,79.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400147.00,Chicago Excel Acad,86.00,0.00,85.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
400148.00,IJLA Charter HS,168.00,3.00,3.00,0.00,2.00,160.00,0.00,0.00,0.00,0.00
609674.00,Chicago Voc HS,965.00,0.00,941.00,1.00,0.00,14.00,2.00,0.00,1.00,6.00
609676.00,Dunbar Voc HS,1328.00,1.00,1302.00,0.00,0.00,15.00,7.00,2.00,1.00,0.00
609678.00,Jones CPHS,883.00,248.00,208.00,1.00,4.00,286.00,30.00,86.00,2.00,18.00
609679.00,Prosser HS,1475.00,62.00,354.00,0.00,7.00,1037.00,6.00,8.00,1.00,0.00
609680.00,Payton CPHS,859.00,317.00,184.00,1.00,3.00,214.00,50.00,71.00,2.00,17.00
609682.00,Richards HS,477.00,4.00,145.00,0.00,3.00,324.00,0.00,0.00,0.00,1.00
609686.00,Youth Connect Chrt,4064.00,59.00,2987.00,3.00,6.00,962.00,30.00,10.00,2.00,5.00
609691.00,North-Grand HS,904.00,6.00,58.00,0.00,0.00,834.00,2.00,2.00,0.00,2.00
609692.00,Simeon HS,1529.00,1.00,1511.00,0.00,0.00,6.00,9.00,0.00,0.00,2.00
609693.00,Westinghouse HS,1116.00,21.00,711.00,0.00,3.00,323.00,13.00,45.00,0.00,0.00
