SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400009.00,Globel Citizenship,198.00,29.00,10.00,0.00,1.00,151.00,2.00,0.00,0.00,5.00
400010.00,ACE Tech Chtr HS,476.00,18.00,296.00,0.00,7.00,141.00,14.00,0.00,0.00,0.00
400011.00,Locke A. Charter,581.00,2.00,553.00,0.00,1.00,9.00,3.00,0.00,0.00,13.00
400012.00,Amandla Elementay Chrtr,293.00,1.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400013.00,ASPIRA Chrt - Early College,524.00,9.00,24.00,0.00,0.00,485.00,1.00,4.00,0.00,1.00
400015.00,ASPIRA Chrt - Ramirez,408.00,12.00,35.00,0.00,0.00,357.00,0.00,4.00,0.00,0.00
400017.00,ASPIRA Chrt - Haugan,560.00,24.00,37.00,0.00,3.00,478.00,4.00,13.00,1.00,0.00
400018.00,Austin Bus & Entrp HS,383.00,0.00,381.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400019.00,Bronzeville LH Chrt,472.00,1.00,464.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00
400020.00,Catalyst Chrt - Howland,504.00,0.00,499.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00
400021.00,Catalyst Circle Rock,498.00,0.00,492.00,0.00,0.00,1.00,3.00,0.00,0.00,2.00
400022.00,Chicago Arts HS,300.00,42.00,151.00,0.00,1.00,83.00,17.00,5.00,0.00,1.00
400023.00,CICS - Avalon/So Shore,426.00,0.00,411.00,0.00,0.00,1.00,10.00,1.00,2.00,1.00
400024.00,CICS- Basil,721.00,1.00,666.00,0.00,0.00,49.00,2.00,2.00,1.00,0.00
400025.00,CICS - Bucktown,657.00,22.00,109.00,0.00,2.00,515.00,9.00,0.00,0.00,0.00
400026.00,CICS - Loomis,591.00,0.00,579.00,0.00,1.00,10.00,1.00,0.00,0.00,0.00
400027.00,CICS - Irving Park,499.00,74.00,58.00,0.00,0.00,329.00,16.00,22.00,0.00,0.00
400028.00,CICS- Prairie,404.00,0.00,234.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00
