School ID,Education Units,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
610188,DUNNE TECH ACAD,246,0,241,0,0,5,0,0,0,0
610191,STONE,629,226,114,0,2,115,26,143,2,1
610192,STOWE,773,7,51,0,6,707,2,0,0,0
610193,NEW SULLIVAN,501,5,372,0,0,117,6,0,1,0
610194,SUMNER,312,0,292,0,0,2,0,1,1,16
610195,SUTHERLAND,729,271,397,0,0,46,11,4,0,0
610196,SWIFT,718,118,217,0,8,225,25,121,2,2
610197,TALCOTT,540,43,30,0,1,447,13,6,0,0
610198,TAYLOR,529,9,43,0,3,472,2,0,0,0
610199,COLEMON,269,1,246,0,0,20,0,2,0,0
610200,"THORP, J",364,4,281,0,0,79,0,0,0,0
610201,"THORP, O",839,261,91,0,10,376,30,53,5,13
610202,TILTON,377,0,363,0,0,5,3,0,0,6
610203,TONTI,"1,082",10,17,0,4,"1,044",3,0,0,4
610206,TWAIN,"1,196",222,15,0,2,945,5,6,1,0
610207,VANDERPOEL,300,1,290,0,0,7,0,0,0,2
610208,LAVIZZO,393,0,382,0,0,10,1,0,0,0
610209,VOLTA,"1,004",81,31,0,4,641,3,244,0,0
610212,ALBANY PARK,269,14,11,0,0,202,8,34,0,0
610213,WADSWORTH,550,1,540,0,1,6,1,0,1,0
610215,MADERO,323,3,3,0,0,316,1,0,0,0
610216,WALSH,450,10,33,0,1,398,4,3,0,1
610217,"WARD, J",520,26,104,0,0,57,9,323,1,0
610218,WARREN,300,1,288,0,0,8,3,0,0,0
610219,"WASHINGTON, G",867,67,13,0,7,776,3,1,0,0
610220,WATERS,625,305,19,0,1,239,30,20,9,2
610221,WEBSTER,314,0,313,0,0,0,1,0,0,0
610223,WENTWORTH,558,0,545,0,2,10,1,0,0,0
610225,WHISTLER,290,1,285,0,1,3,0,0,0,0
610226,SANDOVAL,"1,145",13,16,0,6,"1,105",0,3,0,2
610227,WHITNEY,"1,104",15,3,0,1,"1,084",1,0,0,0
610228,WHITTIER,324,4,0,0,0,320,0,0,0,0
610229,PRITZKER,725,174,253,0,0,234,30,25,7,2
610230,WILDWOOD,428,246,21,0,0,85,25,43,4,4
610231,NATIONAL TEACHERS,626,19,548,0,0,33,8,16,0,2
610234,YATES,601,18,83,0,1,493,0,1,4,1
610235,YOUNG,"1,024",1,892,0,4,113,4,1,3,6
610237,BEETHOVEN,376,2,368,0,0,4,1,1,0,0
610238,BOND,367,0,362,0,0,5,0,0,0,0
610239,DALEY,645,1,51,0,1,592,0,0,0,0
610242,BRENNEMANN,499,14,312,0,1,117,16,26,2,11
610244,CLARK HS,511,0,507,0,0,4,0,0,0,0
610245,DOUGLASS HS,243,0,237,0,0,4,2,0,0,0
610246,BEASLEY,"1,415",2,"1,377",0,4,25,3,1,2,1
610248,CHGO ACAD ES,612,147,20,0,2,411,12,15,4,1
610249,TALMAN,442,1,5,0,0,385,0,0,0,51
610250,SALAZAR,374,8,90,0,1,261,1,13,0,0
610251,CATHER,380,0,373,0,0,6,0,1,0,0
610252,DETT,432,2,414,0,0,11,4,1,0,0
